YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,WD10M
1985,3,23,32.51,22.44,26.96,82.06,1.14,1.93,0.69,43.69
1985,3,24,31.92,22.58,26.67,85.56,10.22,1.69,0.65,38.94
1985,3,25,30.06,22.79,25.97,88.81,15.34,1.8,0.69,48.25
1985,3,26,32.15,22.76,27.23,80.75,5.46,1.14,0.12,169.62
1985,3,27,32.56,22.79,27.19,83.19,1.07,1.19,0.27,131.56
1985,3,28,31.18,24.11,26.6,88.31,6,1.28,0.24,180.81
1985,3,29,32.56,23.55,27.73,81.5,1.85,1.07,0.13,135.12
1985,3,30,31.77,24.07,27.03,86,2.47,1.71,0.26,78.81
1985,3,31,29.84,23.12,25.85,87,1.51,1.96,0.61,58.31
1985,4,1,29.87,22.01,25.46,88.12,0.06,2.18,1.12,52.5
1985,4,2,31.08,22.39,25.88,84.5,0.03,1.88,1.2,45.5
1985,4,3,32.16,21.73,26.49,83.12,0.02,1.5,0.87,43.69
1985,4,4,32.03,23.05,26.66,84.56,6.24,1.84,1.01,51.12
1985,4,5,31.52,22.33,26.35,85,2.41,1.58,1.07,59.19
1985,4,6,33.55,22.44,27.15,81.19,10.43,1.31,0.23,150.81
1985,4,7,32.6,23.16,27.62,78.88,1.14,1.67,0.69,223.31
1985,4,8,32.12,24.93,27.66,78.31,0.12,1.68,0.38,228.56
1985,4,9,31.62,23.59,27.08,82.25,0.04,1.69,0.35,186.19
1985,4,10,31.33,23.8,26.98,84.31,0.1,1.7,0.52,261
1985,4,11,29.77,23.24,26.03,89.88,5.43,2.24,1.08,284.44
1985,4,12,29.3,23.97,25.96,91.69,3.33,2.27,1.11,286.44
1985,4,13,30.26,23.31,26.5,88.12,0.47,1.7,1.09,277.88
1985,4,14,27.97,23.91,25.65,93.81,22.95,1.48,0.91,303.88
1985,4,15,31.7,23.41,26.98,81.38,3.23,1.35,0.51,182.56
1985,4,16,33.49,23.49,27.44,78.81,7,1.29,0.42,76.56
1985,4,17,32.44,23.11,27.48,78.88,6.91,1.29,0.3,181.12
1985,4,18,29.55,23.7,26.11,84.19,7.27,1.93,0.57,252.75
1985,4,19,29.65,22.83,25.73,86.69,1.01,2.06,1.16,265.94
1985,4,20,28.19,23.55,25.65,90,1.62,1.35,0.55,276.19
1985,4,21,30.39,23.65,26.35,86,0.85,1.95,0.32,269.62
1985,4,22,30.23,22.59,25.84,88.88,3,2.22,0.93,265.62
1985,4,23,28.83,23.51,25.74,89.69,1.08,1.89,0.9,246.94
1985,4,24,29.97,23.34,25.99,87,19.87,1.77,0.98,225.38
1985,4,25,30.12,23.06,25.98,85.38,6.94,1.73,1.05,204.19
1985,4,26,30.45,23.33,26.47,84.06,0.32,1.62,0.95,198.94
1985,4,27,28.06,23.87,25.88,88,1.7,1.33,0.79,213.75
1985,4,28,27.87,23.67,25.37,91.69,4.93,1.64,0.91,193.38
1985,4,29,30.12,23.3,26.03,85.62,3.46,1.55,1.03,178.06
1985,4,30,29.4,23.5,25.94,85.56,0.31,1.79,0.91,169
1985,5,1,29.3,23.05,25.72,87.38,6.41,2.03,1.05,173.56
1985,5,2,29.42,23.27,25.76,88.38,2.46,1.8,0.98,177.19
1985,5,3,29.37,23.5,26.03,87.19,0.51,1.79,0.84,186.94
1985,5,4,30.69,24.06,26.76,84.25,0.93,1.41,0.71,190.75
1985,5,5,29.38,24.13,26.3,89.38,1.5,1.62,0.81,175.38
1985,5,6,30.28,24.34,26.58,85.94,0.32,1.24,0.43,223.19
1985,5,7,31.68,24.42,27.4,80.75,0.79,1.22,0.57,194.5
1985,5,8,32.34,23.55,27.26,81.5,11.26,1.34,0.62,87.31
1985,5,9,31.32,23.19,26.86,83.5,3.57,1.25,0.18,117.81
1985,5,10,30.14,24.05,26.62,87.31,1.58,1.2,0.44,179.56
1985,5,11,35.73,24.7,28.29,83.25,21.86,1.16,0.27,178.19
1985,5,12,28.08,24.4,26.15,87.25,6.31,0.85,0.41,249.56
1985,5,13,32.76,23.62,27.05,81.25,7.35,1.29,0.15,161.56
1985,5,14,31.08,22.76,26.65,83.31,2.71,2.07,0.6,238.56
1985,5,15,30.62,23.08,26.37,85.38,2.85,1.87,1.03,250.31
1985,5,16,30.53,23.76,26.36,84.88,0.24,1.56,1.09,199.19
1985,5,17,31.3,23.74,26.98,83.44,0.28,1.48,0.88,146.81
1985,5,18,31.07,23.76,26.94,87.25,5.43,1.16,0.3,131.56
1985,5,19,27.62,24.01,25.73,93.12,2.71,1.52,0.25,208.94
1985,5,20,30.84,23.57,26.62,83.38,9.47,1.72,0.13,203.38
1985,5,21,33.29,24.16,27.75,80.88,40.69,1.24,0.48,206.56
1985,5,22,32.93,23.87,27.43,80.69,33.98,1.19,0.49,170.12
1985,5,23,32.91,23.41,27.05,85.19,10.43,1.12,0.43,135.25
1985,5,24,28.83,23.5,25.79,89.75,2.98,1.3,0.89,162.06
1985,5,25,30.34,24.02,26.78,84.44,10.25,1.5,0.29,171.5
1985,5,26,29.47,23.55,26.37,87.5,11.73,1.29,0.98,167.12
1985,5,27,30.29,24.05,26.65,87.25,1.99,1.58,0.19,184.12
1985,5,28,29.24,24.25,26.19,88,0,1.82,1.03,192
1985,5,29,29.63,24.03,26.36,90.31,0,1.72,1.12,159.44
1985,5,30,27.94,24.21,25.73,91.81,2.83,2.17,0.94,176.75
1985,5,31,28.35,23.83,25.73,85.69,4.37,1.62,0.7,183.31
1985,6,1,31.76,23.38,26.9,78.62,0.29,1.56,0.29,187.88
1985,6,2,31.99,22.9,27.15,81.12,0.32,1.42,0.47,274.44
1985,6,3,30.34,24.4,27.15,82.5,0.56,1.41,0.73,229.69
1985,6,4,30.23,24.32,26.51,85.94,1.43,1.39,0.85,191.06
1985,6,5,30.35,23.9,26.71,82.81,0.3,1.5,0.89,181.44
1985,6,6,31.73,23.69,26.86,78.94,0.16,1.51,0.62,212.25
1985,6,7,30.42,22.97,26.51,82.69,1.47,1.5,0.5,272.94
1985,6,8,30.54,23.84,26.55,83.19,0.42,2.16,0.31,281.88
1985,6,9,30.9,23.33,26.75,83.44,0.55,1.42,0.83,261.06
1985,6,10,31.12,24.54,27.39,78,0.02,1.53,0.05,235.44
