YEAR,MO,DY,HR,T2M,WS10M,PRECTOTCORR,RH2M
2014,5,17,7,26.22,0.93,0.8,98.25
2014,5,17,8,28.01,1.23,0.73,90.5
2014,5,17,9,29.73,1.05,0.79,79.94
2014,5,17,10,30.7,0.98,0.94,74.06
2014,5,17,11,32.1,0.95,1.67,67.62
2014,5,17,12,33.63,0.99,1.29,60.88
2014,5,17,13,33.66,0.95,1.58,61.5
2014,5,17,14,33.83,0.77,1.12,60.62
2014,5,17,15,32.98,0.6,0.98,63.25
2014,5,17,16,31.19,0.61,0.52,68.56
2014,5,17,17,29.33,0.68,0.39,76.12
2014,5,17,18,28.02,0.65,0.29,82.31
2014,5,17,19,27.65,0.51,0.24,84.81
2014,5,17,20,27.52,0.28,0.25,82.81
2014,5,17,21,27.36,0.16,0.28,83.5
2014,5,17,22,27.06,0.19,0.34,83.69
2014,5,17,23,26.85,0.31,0.44,80.19
2014,5,18,0,26.44,0.42,0.56,82.12
2014,5,18,1,26.05,0.55,0.65,83.19
2014,5,18,2,25.67,0.73,0.64,84.94
2014,5,18,3,25.41,0.77,0.56,86.06
2014,5,18,4,25.3,0.61,0.45,86
2014,5,18,5,25.24,0.44,0.38,86.12
2014,5,18,6,25.19,0.34,0.34,95.25
2014,5,18,7,27.56,0.38,0.17,89.06
2014,5,18,8,32.54,0.76,0.21,63.12
2014,5,18,9,34.25,0.64,0.28,55.62
2014,5,18,10,33.78,0.51,0.38,53.81
2014,5,18,11,32,0.59,0.42,55.81
2014,5,18,12,32.2,0.81,0.39,56.69
2014,5,18,13,31.93,1,0.34,59
2014,5,18,14,31.57,1.09,0.27,62
2014,5,18,15,31.5,1.12,0.2,65.69
2014,5,18,16,30.72,1.05,0.12,71.06
2014,5,18,17,29.55,0.96,0.08,78.56
2014,5,18,18,28.05,0.87,0.05,84.69
2014,5,18,19,27.71,0.77,0.03,83.25
2014,5,18,20,27.41,0.65,0.03,83.25
2014,5,18,21,27.28,0.38,0.03,82.12
2014,5,18,22,27.3,0.1,0.02,80.75
2014,5,18,23,26.98,0.39,0.02,82.5
2014,5,19,0,26.62,0.56,0.02,84.12
2014,5,19,1,26.28,0.73,0.02,86
2014,5,19,2,25.86,0.9,0.02,89.25
2014,5,19,3,25.41,1.06,0.02,93.56
2014,5,19,4,25.18,1.13,0.02,94.38
2014,5,19,5,25.01,1.18,0.03,94.81
2014,5,19,6,25.24,0.96,0.04,95.88
2014,5,19,7,27.21,0.84,0.02,91.44
2014,5,19,8,28.87,0.71,0.06,83.06
2014,5,19,9,29.23,0.7,0.09,79.19
2014,5,19,10,30.12,0.79,0.14,75.19
2014,5,19,11,30.72,0.87,0.16,71.38
2014,5,19,12,30.4,0.85,0.19,75.31
2014,5,19,13,30.02,0.74,0.19,78.81
2014,5,19,14,29.55,0.68,0.18,80.88
2014,5,19,15,29.14,0.51,0.15,84.69
2014,5,19,16,28.69,0.36,0.13,85.69
2014,5,19,17,27.8,0.39,0.07,84.25
2014,5,19,18,26.49,0.65,0.07,90.94
2014,5,19,19,25.75,0.76,0.07,94.25
2014,5,19,20,25.28,0.86,0.07,95.12
2014,5,19,21,25.05,1.05,0.08,95.62
2014,5,19,22,24.91,1.16,0.1,96.31
2014,5,19,23,24.8,1.04,0.1,97.25
2014,5,20,0,24.79,0.77,0.11,97.75
2014,5,20,1,24.86,0.7,0.11,96.56
2014,5,20,2,24.44,0.87,0.11,98.44
2014,5,20,3,24.3,1.3,0.1,98.5
2014,5,20,4,24.17,1.34,0.09,98.69
2014,5,20,5,24.04,1.32,0.1,98.69
2014,5,20,6,24.15,1.38,0.11,98.25
2014,5,20,7,24.76,1.34,0.24,97.06
2014,5,20,8,26.52,1.23,0.25,92.5
2014,5,20,9,29.09,1.03,0.28,77.44
2014,5,20,10,31.01,0.8,0.31,66.94
2014,5,20,11,31.7,0.52,0.35,68.31
2014,5,20,12,31.6,0.41,0.39,67.44
2014,5,20,13,31.76,0.54,0.42,63.69
2014,5,20,14,32.12,0.54,0.4,63.88
2014,5,20,15,31.82,0.48,0.36,72.94
2014,5,20,16,30.69,0.74,0.29,70.81
2014,5,20,17,28.92,0.98,0.2,75.25
2014,5,20,18,26.96,1.17,0.15,85.94
